scopus_id,eid,title,abstract,authors,doi,year,source,volume,issue,pages,issn,isbn,affiliations,subject_areas,references,citations,url,language,publisher
105010118826,2-s2.0-105010118826,Cloud software code generation via knowledge graphs and multi-modal learning,,Zhang F.,10.1186/s13677-025-00758-5,2025-12-01,Journal of Cloud Computing,14,1,,,,"[{'@_fa': 'true', 'affilname': 'Guangdong University of Technology', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105010118826,,
105020672681,2-s2.0-105020672681,The research landscape and evolutionary trends of robot-assisted orthopedic telesurgery: a bibliometric and visualized analysis,,Zhang X.,10.1007/s11701-025-02913-1,2025-12-01,Journal of Robotic Surgery,19,1,,18632483,,"[{'@_fa': 'true', 'affilname': ""Wenshang People's Hospital"", 'affiliation-city': 'Wenshang', 'affiliation-country': 'China'}]",,2,2,https://api.elsevier.com/content/abstract/scopus_id/105020672681,,
85214278912,2-s2.0-85214278912,Digital-based emergency prevention and control system: enhancing infection control in psychiatric hospitals,,Yang M.,10.1186/s12911-024-02809-4,2025-12-01,BMC Medical Informatics and Decision Making,25,1,,,,"[{'@_fa': 'true', 'affilname': ""Fourth People's Hospital of Chengdu"", 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",,1,1,https://api.elsevier.com/content/abstract/scopus_id/85214278912,,
85218336678,2-s2.0-85218336678,Integrating semantic web into context-aware mobile application based on cloud computing,,Lai T.Y.,10.1186/s13677-025-00731-2,2025-12-01,Journal of Cloud Computing,14,1,,,,"[{'@_fa': 'true', 'affilname': 'National Formosa University Taiwan', 'affiliation-city': 'Yunlin', 'affiliation-country': 'Taiwan'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/85218336678,,
105017185992,2-s2.0-105017185992,FUSION: a web-based application for in-depth exploration of multi-omics data with brightfield histology,,Border S.P.,10.1038/s41467-025-63050-9,2025-12-01,Nature Communications,16,1,,,,"[{'@_fa': 'true', 'affilname': 'University of Florida College of Medicine', 'affiliation-city': 'Gainesville', 'affiliation-country': 'United States'}]",,1,1,https://api.elsevier.com/content/abstract/scopus_id/105017185992,,
105011369543,2-s2.0-105011369543,Collaborative and Observability Enhanced Fault Injection for Resilient Cloud-Edge Computing,,Ruan J.,10.1142/S0218194025410050,2025-11-01,International Journal of Software Engineering and Knowledge Engineering,35,11,1623-1650,02181940,,"[{'@_fa': 'true', 'affilname': 'Zhejiang University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Alibaba Group Holding Limited', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105011369543,,
105022098726,2-s2.0-105022098726,KDCFI AI-based knowledge discovery framework for cloud forensic investigation,,Saluja P.,10.1007/s11227-025-07952-x,2025-11-01,Journal of Supercomputing,81,17,,09208542,,"[{'@_fa': 'true', 'affilname': 'Nirma University, Institute of Technology', 'affiliation-city': 'Ahmedabad', 'affiliation-country': 'India'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105022098726,,
105021402102,2-s2.0-105021402102,Multi-Modal Semantic Fusion for Smart Contract Vulnerability Detection in Cloud-Based Blockchain Analytics Platforms,,Zeng X.,10.3390/electronics14214188,2025-11-01,Electronics Switzerland,14,21,,,,"[{'@_fa': 'true', 'affilname': 'Beijing University of Posts and Telecommunications', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105021402102,,
105008675191,2-s2.0-105008675191,Enabling efficient and accurate semantic search over encrypted cloud data,,Tang Z.,10.1016/j.ins.2025.122437,2025-11-01,Information Sciences,719,,,00200255,,"[{'@_fa': 'true', 'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Institute of Information Engineering', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Key Laboratory of Cyberspace Security Defense', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",,3,3,https://api.elsevier.com/content/abstract/scopus_id/105008675191,,
105026558843,2-s2.0-105026558843,From Logs to Knowledge: LLM-Powered Dynamic Knowledge Graphs for Real-Time Cloud Observability,,Amanmadov N.,10.14569/IJACSA.2025.0161003,2025-10-30,International Journal of Advanced Computer Science and Applications,16,10,16-25,2158107X,,"[{'@_fa': 'true', 'affilname': 'University of Washington', 'affiliation-city': 'Seattle', 'affiliation-country': 'United States'}]",,0,0,https://api.elsevier.com/content/abstract/scopus_id/105026558843,,
