title,authors,abstract,year,keywords,doi,url,type
Exploiting data in the cloud,"Miller, Paul",<p>Audio recording of presentation which cannot be published due to copyright issues.</p>,2022,"cloud computing, semantic web",10.5281/zenodo.7100480,,video
An Ontology based Agent Generation for Information Retrieval on Cloud Environment,"Chang, Yue-Shan, Yang, Chao-Tung, Luo, Yu-Cheng","Retrieving information or discovering knowledge from a well organized data center in general is requested to be familiar with its schema, structure, and architecture, which against the inherent concept and characteristics of cloud environment. An effective approach to retrieve desired information or to extract useful knowledge is an important issue in the emerging information/knowledge cloud. In this paper, we propose an ontology-based agent generation framework for information retrieval in a flexible, transparent, and easy way on cloud environment. While user submitting a flat-text based request for retrieving information on a cloud environment, the request will be automatically deduced by a Reasoning Agent (RA) based on predefined ontology and reasoning rule, and then be translated to a Mobile Information Retrieving Agent Description File (MIRADF) that is formatted in a proposed Mobile Agent Description Language (MADF). A generating agent, named MIRA-GA, is also implemented to generate a MIRA according to the MIRADF. We also design and implement a prototype to integrate these agents and show an interesting example to demonstrate the feasibility of the architecture.",2022,"ontology, agent generation, information retrieval, cloud computing",10.3217/jucs-017-08-1135,,publication
A Mixed Methods Systematic Analysis of Issues and Factors Influencing Organizational Cloud Computing Adoption and Usage in the Public Sector: Initial Findings,Mark Theby,"<p><strong>Abstract:</strong> Cloud computing has been shown to be an essential enabling technology for public sector organizations (PSOs) and offers numerous potential benefits, including reduced information technology infrastructure costs, increased innovation potential, and improved resource resilience and scalability. Despite governments&rsquo; intensifying efforts to realize the benefits of this technology, cloud computing adoption and usage proves to be challenging, posing a variety of organizational and operational issues for PSOs. This systematic analysis constitutes the initial phase of a larger research effort that involves forthcoming case studies of specific public sector cloud stakeholders; it aims to identify and synthesize the available knowledge on organizational cloud computing adoption and utilization in the public sector to provide public sector decision makers and stakeholders with reliable, evidence-based, actionable insights that inform and improve public sector IT practice and policy.&nbsp;</p>

<p><strong>Keywords:</strong>&nbsp; Cloud Computing, Government, Public Sector, Adoption and Use.</p>

<p><strong>Title:</strong> A Mixed Methods Systematic Analysis of Issues and Factors Influencing Organizational Cloud Computing Adoption and Usage in the Public Sector: Initial Findings</p>

<p><strong>Author:</strong> Mark Theby</p>

<p><strong>International Journal of Computer Science and Information Technology Research</strong></p>

<p><strong>ISSN 2348-1196 (print), ISSN 2348-120X (online)</strong></p>

<p><strong>Vol. 10, Issue 3, July 2022 - September 2022</strong></p>

<p><strong>Page No: 62-75</strong></p>

<p><strong>Research Publish Journals</strong></p>

<p><strong>Website: www.researchpublish.com</strong></p>

<p><strong>Published Date: 07-September-2022</strong></p>

<p><strong>DOI: <a href=""https://doi.org/%2010.5281/zenodo.7057509"">https://doi.org/ 10.5281/zenodo.7057509</a></strong></p>

<p><strong>Paper Download Link (Source)</strong></p>

<p><strong><a href=""https://www.researchpublish.com/papers/a-mixed-methods-systematic-analysis-of-issues-and-factors-influencing-organizational-cloud-computing-adoption-and-usage-in-the-public-sector-initial-findings"">https://www.researchpublish.com/papers/a-mixed-methods-systematic-analysis-of-issues-and-factors-influencing-organizational-cloud-computing-adoption-and-usage-in-the-public-sector-initial-findings</a></strong></p>",2022,"Cloud Computing, Government, Public Sector, Adoption and Use",10.5281/zenodo.7057509,,publication
An Intelligent Model to Rank Risks of Cloud Computing based on Firm's Ambidexterity Performance under Neutrosophic Environment,"Mahmoud Ismail, Nayef Alrashidi, Nabil Moustafa","<p>In recent years, cloud computing has emerged as a revolutionary technology that offers several benefits to businesses; nevertheless, like any other technology, it comes with significant risks. Firms can gain a competitive advantage by investing in cloud computing while simultaneously exploring new opportunities and leveraging their existing knowledge and capabilities. Cloud computing dangers, on the other hand, may limit these capabilities. We have shown that prospective cloud computing risks have a considerable impact on organizations&rsquo; performance in two key areas of explorative and exploitative innovation using the ambidexterity theoretical lens. To achieve these goals, the Neutrosophic VlseKriterijumska Optimizcija I Kaompromisno Resenje in Serbian (VIKOR) and multi-attributive border approximation area comparison (MABAC) techniques were used, in which the Neutrosophic approach aids experts in expressing their opinions using linguistic variables, and the VIKOR and MABAC techniques rank cloud computing risks based on ambidexterity criteria. There are eight criteria and ten alternatives are used in this study</p>",2022,Cloud Computing; Risks; Neutrosophic; Uncertainty; VIKOR; MABAC,10.5281/zenodo.6041467,,publication
Data Security In Cloud Computing Using RSA Algorithm,"Krishna Biju, Dr.Juby Mathew","<p><em>Abstract</em>&mdash; Now a days knowledge security is a lot of necessary in net world. Today&rsquo;s hottest analysis space is Cloud computing because of its ability to cut back the price that related to computing. it&#39;s the foremost attention-grabbing and supply new security challenges that gives varied services to the users over the network. This paper that specializes in the info storage security problems in Cloud atmosphere. though the Cloud Computing is a lot of spectacular and encourage, however their area unit several challenges for knowledge security as there&#39;s no district of the info for the Cloud user. to confirm the protection of information, we tend to planned a way by implementing by RSA rule. when corporal punishment RSA rule, we are able to secure {the knowledge the info the information} by encrypting the initial data then decrypting the info that offer by the Cloud supplier. Cloud supplier will solely manifest the user and delivers the info to the user.</p>",2022,"Cloud Computing, RSA rule, coding of information, decoding of information, Security of information",10.5281/zenodo.6223508,,publication
CLOUD COMPUTING – KEY PILLAR FOR DIGITAL INDIA,Kirtankumar R. Rathod,"<p>Companies are doing marketing or branding of their products and services using digital media. Life is becoming so smooth and transparent by the sharing of information through the digital mediums. Whether it is a small or a big company, everybody is running for the competition, because they want to lock their customers. In this paper current market scenario is included with respect to cloud computing solution. Data access at present has limitations. Government data which is publicly accessible should have some policy. Cloud Computing is likely to be one of the key pillars on which various e-Governance services would ride. Digital India is a program to prepare India for a knowledge future. Digital India should have policy wherein the Government will be providing information and services to internal and external stakeholders. Cloud computing has become the most stimulating development and delivery alternative in the new millennium. A lot of departments are showing interest to adopt Cloud technology, but awareness on Cloud security needs to be increased. The adoption of Cloud is helping organizations innovate, do things faster, become more agile and enhance their revenue stream. In this paper, the information regarding cloud services and models are provided. Also, the main focus is on what government can do with the help of it for Digital India mission?</p>",2022,"Cloud computing, Digital India, Pay-per-use model, Security",10.5281/zenodo.7332761,,publication
REMOTE DISPLAY SOLUTIONS FOR MOBILE CLOUD COMPUTING,"Rajesh S. Yemul, Prof. Ms. Aradhana  Deshmukh","<p><em>&ldquo;Remote display solution for mobile cloud computing is an attempt to separate the input/output interface from the application logic for the mobile devices.</em></p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <em>Essentially, the principle of mobile cloud computing physically separates the user interface from the application logic. Only a viewer component is executed on the mobile device, operating as a remote display for the applications running on distant servers in the cloud. Any remote display framework is composed of three components: a server side component that intercepts, encodes and transmits the application graphics to the client, a viewer component on the client and a remote display protocol that transfers display updates and user events between both endpoints.</em></p>

<p><em>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Using standard thin client solutions, such as Remote Desktop Protocol (RDP), and Virtual Network Computing (VNC), in a mobile cloud computing context is not straightforward.</em></p>

<p><em>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; These architectures were originally designed for corporate environments, where users connect over a wired local area network to the central company server executing typical office applications. In this setting, the technical challenges are limited, because delay and jitter are small, bandwidth availability is seldom a limiting factor and office applications exhibit rather static displays when compared with multimedia applications. In a mobile cloud computing environment, the remote display protocol must be able to deliver complex multimedia graphics over wireless links and render these graphics on a resource constrained mobile device.</em></p>

<p>&nbsp;</p>",2022,,10.5281/zenodo.6881692,,publication
International Journal on Cloud Computing: Services and Architecture (IJCCSA),"Sebastian Floerecke, Florian Felix Röck and Franz Lehner","<p>Despite the highly competitive situation within the Infrastructure as a Service (IaaS) market and the resulting pressure and uncertainty for the involved providers, only little knowledge is available about business model characteristics (BMCs) related to success. Merely few qualitative studies are existing that propose hypotheses on success-driving business model characteristics (SDBMCs), however, a general and comparative quantitative evaluation and thus an evidence for their impact on business success is still missing. But this knowledge is essential for IaaS providers as it would allow them to focus their limited resources and efforts on the truly decisive BMCs and, at the same time, save costs by avoiding activities and investments of minor importance. Aiming to reduce this gap, a web-based survey was carried out, in which representatives of IaaS providers of different size rated the level of relevance of the proposed SDBMCs. As this study is still going on, this paper focuses on presenting the study design and an analysis of the data collected so far. As a preliminary result, nearly 80 % of the SDBMCs were rated as extremely important or important, meaning that the existing qualitative research results were confirmed to a high degree. The relevance of the individual SDBMCs varies greatly depending on the IaaS provider&rsquo;s size</p>",2022,"Infrastructure as a Service (IaaS), Business Model, Success-Driving Business Model Characteristics (SDBMCs), Web-Based Survey, Quantitative Evaluation, Behavioural-Science Research Paradigm.",10.5281/zenodo.7463386,,publication
"Cloud computing is one of the most popular and sophisticated technologies adopted by organizations worldwide. Some world-leading organizations enhance their efficiency and effectiveness by using cloud computing technology. Working from home (WFH) has been a popular trend among organizations during the coronavirus (COVID-19) pandemic. The COVID-19 saw a breakthrough in work cultures and environments where working from home was a remarkable success in remote working environments, despite being a rare phenomenon in Sri Lanka. Yet, it is argued that the deployment of work from home has not been effective among Sri Lankan business organizations due to a lack of IT infrastructure, facilities, and knowledge. The purpose of the study is to investigate the impact of cloud computing, embracing the service models (Infrastructure as a Service, Platform as a Service, and Software as a Service) as theoretical lenses and testing the COVID-19 as the moderator. The study has been conducted based on a deductive approach and adopted a stratified random sampling method. The sample consisted of 384 IT employees  among those who had experienced working from home. The study utilized multiple regression and found that cloud computing service models significantly impact work from home with the moderating effect of COVID-19.","Nagalingam.N, Lochana.R, Ahaliya.M, Medis.Y.R.N.V, Anusanthan.V","<p>Cloud computing is one of the most popular and sophisticated technologies adopted by organizations worldwide. Some world-leading organizations enhance their efficiency and effectiveness by using cloud computing technology. Working from home (WFH) has been a popular trend among organizations during the coronavirus (COVID-19) pandemic. The COVID-19 saw a breakthrough in work cultures and environments where working from home was a remarkable success in remote working environments, despite being a rare phenomenon in Sri Lanka. Yet, it is argued that the deployment of work from home has not been effective among Sri Lankan business organizations due to a lack of IT infrastructure, facilities, and knowledge. The purpose of the study is to investigate the impact of cloud computing, embracing the service models (Infrastructure as a Service, Platform as a Service, and Software as a Service) as theoretical lenses and testing the COVID-19 as the moderator. The study has been conducted based on a deductive approach and adopted a stratified random sampling method. The sample consisted of 384 IT employees &nbsp;among those who had experienced working from home. The study utilized multiple regression and found that cloud computing service models significantly impact work from home with the moderating effect of COVID-19.</p>",2022,"Cloud computing, Work from home, Covid-19, Sri Lanka",10.5281/zenodo.7105346,,dataset
Cloud Warehousing,"Ma, Hui, Schewe, Klaus-Dieter, Thalheim, Bernhard, Wang, Qing","Data warehouses integrate and aggregate data from various sources to support decision making within an enterprise. Usually, it is assumed that data are extracted from operational databases used by the enterprise. Cloud warehousing relaxes this view permitting data sources to be located anywhere on the world-wide web in a so-called ""cloud"", which is understood as a registry of services. Thus, we need a model of dataintensive web services, for which we adopt the view of the recently introduced model of abstract state services (AS2s). An AS2 combines a hidden database layer with an operation-equipped view layer, and thus provides an abstraction of web services that can be made available for use by other systems. In this paper we extend this model to an abstract model of clouds by means of an ontology for service description. The ontology can be specified using description logics, where the ABox contains the set of services, and the TBox can be queried to find suitable services. Consequently, AS2 composition can be used for cloud warehousing.",2022,"cloud computing, data warehouse, service-oriented computing, service composition, tenants, service ontology",10.3217/jucs-017-08-1183,,publication
