title,authors,abstract,year,keywords,doi,url,type
Virtualization Types in Cloud Computing,"Nikhil S Patankar, Sailee R Salkar, Yogesh S Deshmukh, Rameshwar D Chintamani","<p><em>There are number of advancements and research made in the field of Computing in Hardware and Software from the year 1960 in the mainframes. Also, there are many issues in the Computing Infrastructure where the concept of Cloud Computing came into the Picture where it was introduce in the market. There are various previous knowledge about the Cloud Computing such as Autonomic Computing, Distributed Computing, Internet Technologies, Hardware Virtualization etc. While in various services the primary role of Cloud is Provisioning the Resources. In this paper, we present the role of different types of virtualization in Cloud Computing with the highlighting the key concepts, Virtualization types, Hypervisors and features related to Cloud Data and its applications. The main aim of this paper is to provide a better understanding of Cloud Virtualization and mainly to identify the important research that is present in the field of Cloud Computing.</em></p>",2020,"Cloud computing, Mainframes, resource provisioning, virtual machine monitor, virtualization, VM.",10.5281/zenodo.3733988,,publication
Peak load scheduling in smart grid using cloud computing,"Manoj Hans, Vivekkant Jogi","<p>In this paper present peak, energy management attainable is feasible by monitoring real-time readings of whole loads within the college premises victimization this schedule loads so energy saving is possible. Currently, cloud computing technology offer on-line real-time monitoring knowledge, we have a tendency to create project supported cloud computing application for energy management that is employed for monitoring real time consumption of electricity and load planning. With respect to monitoring knowledge, we have a tendency to be able to plot the load curves so it&#39;ll be useful in achieving optimum energy consumption for educational institute.</p>",2020,"Cloud computing, Energy consumption, Energy mangement, Load scheduling",10.11591/eei.v8i4.1687,,publication
A hybrid approach for scheduling applications in cloud computing environment,"Ahmed Subhi Abdalkafor, Khattab M. Ali Alheeti","<p>Cloud computing plays an important role in our daily life. It has direct and positive impact on share and update data, knowledge, storage and scientific resources between various regions. Cloud computing performance heavily based on job scheduling algorithms that are utilized for queue waiting in modern scientific applications. The researchers are considered cloud computing a popular platform for new enforcements. These scheduling algorithms help in design efficient queue lists in cloud as well as they play vital role in reducing waiting for processing time in cloud computing. A novel job scheduling is proposed in this paper to enhance performance of cloud computing and reduce delay time in queue waiting for jobs. The proposed algorithm tries to avoid some significant challenges that throttle from developing applications of cloud computing. However, a smart scheduling technique is proposed in our paper to improve performance processing in cloud applications. Our experimental result of the proposed job scheduling algorithm shows that the proposed schemes possess outstanding enhancing rates with a reduction in waiting time for jobs in queue list</p>",2020,"Cloud computing, Task scheduling algorithm priority",10.11591/ijece.v10i2.pp1387-1397,,publication
Review of Advancements in Multi-tenant Framework in Cloud Computing,"Suresh K., Jagadeesh Kannan R.","<p>As the cloud computing is gaining more user base the problem of simultaneously catering computational resources to multitude of users or their application is on rise. It remains a critical problem and pose hindrance in scalability of cloud computing. Thus, in order to layout the proper solution for the mentioned problem; it is necessary to sum up a proper knowledge based of the existing solution, there drawbacks and a detail analysis of its performances. In this study we present a review of multi-tenant frameworks and approaches used in the industry which reaps advantages to facilitate multi-tenancy.</p>",2020,"Cloud computing, Multi-tenancy, Cloud data",10.11591/ijeecs.v11.i3.pp1102-1108,,publication
Information-communication technologies as the instrument for improving the quality of the educational process,Kateryna Stiepanova,"<p>Now, different innovative technologies are used to improve the educational process through the presentation of a modern learning content, the quality monitoring and evaluation of learning results at the various stages, and also the creation of new organizational forms of learning, educational and scientific resources and electronic systems and their implementation in the process of students&rsquo; self-study and their classroom study. The transformation of the educational environment of the educational institutions by the use of special platforms is an important trend of the modern research. As the electronic educational resources supports different types of learning and research activities, such as theoretical material studies, the search for useful information, task solutions, testing, training, simulation, making experiments and others. Besides in the national strategy of education development takes place a defined course to improve the competitiveness and quality of education to ensure public high-level professionals in the current socio-economic conditions, and integration into the European and world educational space and precisely for this reason one of the main strategic directions of the national education system is the widespread integration of information technologies and innovative educational programs. The article is devoted to an analysis of the problems of modernization of the educational environment in the context of improving and quality control of information and communication technologies and innovative tools adoption into the educational process. Based on analysis of scientific researches in this field and according to the definition of quality of an educational process by UNESCO criteria, there was affected the question concerning monitoring systems of functioning of a higher educational institution as a unit that is its economic, administrative and educational guide. An analysis of impacts that must be factored now into our educational system is made. The most important indicators of information educational environment are considered. The main factors of the level of formation of educational-research environment have been given. The perspectives of using the electronic resources in the system of higher education are revealed</p>",2020,"educational environment, innovative tools, educational process quality, electronic resources, competences",10.15587/2519-4984.2019.170269,,publication
An Adaptive Technique in Electronic Health Record for Clinical Decision Making Based on Data Visualization,"Meghana Prakash, Vignesh S","<p>Cloud computing is a collection of several computer resources that consists of both software and hardware. It is a type of service that is delivered over the internet and can be accessible from anywhere. 1 The data and services can be accessed through the internet. 4 These services are managed by the third party over the internet. They eventually provide access to the servers and resources. Health records consist of patient&acirc;&euro;&trade;s data regarding health. This data is usable by both the hospitals and patients. 6 8 This can be eventually used to track the medical history of patients. Data Visualization is a graphical depiction of the data. It implicates producing images that advertise the link among the data that the users view. Hence, they are used for clinical decision making. In this paper we will be discussing how cloud can be used to maintain health records electronically. Meghana Prakash | Vignesh S &quot;An Adaptive Technique in Electronic Health Record for Clinical Decision Making Based on Data Visualization&quot; Published in International Journal of Trend in Scientific Research and Development (ijtsrd), ISSN: 2456-6470, Volume-4 | Issue-3 , April 2020, URL: https://www.ijtsrd.com/papers/ijtsrd30699.pdf Paper Url :https://www.ijtsrd.com/computer-science/other/30699/an-adaptive-technique-in-electronic-health-record-for-clinical-decision-making-based-on-data-visualization/meghana-prakash</p>",2020,"Cloud Computing, Internet, Hospital",10.5281/zenodo.3892683,,publication
Virtual Machine Allocation Policy in Cloud Computing Environment using CloudSim,"Taskeen Zaidi, Rampratap","<p>Cloud computing has been widely accepted by the researchers for the web applications. During the past years, distributed computing replaced the centralized computing and finally turned towards the cloud computing. One can see lots of applications of cloud computing like online sale and purchase, social networking web pages, country wide virtual classes, digital libraries, sharing of pathological research labs, supercomputing and many more. Creating and allocating VMs to applications use virtualization concept. Resource allocates policies and load balancing polices play an important role in managing and allocating resources as per application request in a cloud computing environment. Cloud analyst is a GUI tool that simulates the cloud-computing environment. In the present work, the cloud servers are arranged through step network and a UML model for a minimization of energy consumption by processor, dynamic random access memory, hard disk, electrical components and mother board is developed. A well Unified Modeling Language is used for design of a class diagram. Response time and internet characteristics have been demonstrated and computed results are depicted in the form of tables and graphs using the cloud analyst simulation tool.</p>",2020,"Cloud analyst, Cloudsim, Energy consumption, Step topology, UML",10.11591/ijece.v8i1.pp344-354,,publication
CloudScheduler V2: Distributed Cloud Computing in the 21st century,"Colin Roy Leavett-Brown, Colson Driemel, Danika MacDonell, Fernando Fernandez Galindo, Frank Berghaus, Marcus Ebert, Michael Paterson, Randall Sobie, Rolf Seuster, Shaelyn Tolkamp, Tahya Weiss-Gibbons","The cloudscheduler VM provisioning service has been running production jobs for ATLAS and Belle II for many years using commercial and private clouds in Europe, North America and Australia. Initially released in 2009, version 1 is a single Python 2 module implementing multiple threads to poll resources and jobs, and to create and destroy virtual machine. The code is difficult to scale, maintain or extend and lacks many desirable features, such as status displays, multiple user/project management, robust error analysis and handling, and time series plotting, to name just a few examples. To address these shortcomings, our team has re-engineered  the cloudscheduler VM provisioning service from the ground up. The new version, dubbed cloudscheduler version 2 or CSV2, is written in Python 3 runs on any modern Linux distribution, and uses current supporting applications and libraries. The system is composed of multiple, independent Python 3 modules communicating with each other through a central MariaDB (version 10) database. It features both graphical (web browser), and command line user interfaces and supports multiples users/projects with ease. Users have the ability to manage and monitor their own cloud resources without the intervention of a system administrator. The system is scalable, extensible, and maintainable. It is also far easier to use and is more flexible than its predecessor. We present the design, highlight the development process which utilizes unit tests, and show encouraging results from our operational experience with thousands of jobs and workernodes. We also present our experience with containers for running workloads, code development and software distribution.",2020,,10.5281/zenodo.3598905,,presentation
Detection of Malware in Cloud Computing using Sparse Autoencoders,"Srilatha, Doddi, Shyam, Gopal Krishna","<p>Cloud computing is a most inclining world view that gives conveyance of physical and intelligent assets as administrations over the Internet on request. Numerous malwares focus at customized personal computers (PCs) in cloud condition to obtain secret data and obstacle the cloud appropriation by organizations and clients. In this paper, we consider a way to deal with shielding the cloud from being assaulted by nearby PCs. Because of this issue, in view of the Windows Application Programming Interface (API) calls are removed from the Portable Executable (PE) files, we propose a novel Behavior-based Machine Learning Framework (BMLF) using Sparse Autoencoder (SpAE) which is worked in cloud stage for detection of malware. In the proposed BMLF, first we develop conduct graphs to give effective data of malware practices utilizing extricated through. We at that point utilize SpAEs for removing elevated level highlights from conduct graphs. The layers of SpAEs are embedded in a steady progression and the last layer is associated with an additional classifier. The design of SpAEs is 5,000-2,000-1000. The experimental results show that the proposed BMLF yields the semantics of more elevated level noxious practices and increments the normal detection accuracy by 2%.</p>",2020,"Cloud Computing, Malware Detection, Machine Learning, Behavior based Machine Learning Framework (BMLF), Sparse Autoencoders (SpAEs)",10.5281/zenodo.3974574,,publication
A review on cloud based knowledge management in higher education institutions,"Ahmad Shukri Mohd Noor, Muhammad Younas, Muhammad Arshad","<p>Knowledge Management (KM) is widely discussed by researcher and attracts many enterprisers to extract, dispense and use information in a systematic way under Knowledge Management System (KMS). New technology adoption within the knowledge management system is one of the core issue, identified by researcher and underlined as future research agenda. Cloud computing becomes the most adoptable choice for enterprisers to reduce infrastructure and maintenance cost by shifting business on the cloud. Higher Education Institutions (HEIs) are more enthusiastic about knowledge management due to its primary goal of knowledge creation and sharing. Cloud based knowledge management attract higher education institutions by changing the educational method and objectives due to innovative trends in technology. This exploratory research based on literature review for cloud- based knowledge management, targeting higher education institutions. This study highlights the benefits and challenges associated with cloud-based knowledge management system and its impact on knowledge.</p>",2020,"Cloud computing, Higher education institutions, Highlights and challenges, Knowledge management",10.11591/ijece.v9i6.pp5420-5427,,publication
